destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytess,flow_packetss,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packetss,bwd_packetss,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,downup_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length1,fwd_avg_bytesbulk,fwd_avg_packetsbulk,fwd_avg_bulk_rate,bwd_avg_bytesbulk,bwd_avg_packetsbulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,attack_type,y
62505,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
80,190584,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,61038.70209,41.97624145,27226.28571,71520.29677,189418,8,887,443.5,536.6940469,823,64,190524,47631.0,94525.46266,189418,8,0,0,0,0,72,112,15.74109054,26.2351509,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
80,1152434,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,20.82548762,3.470914603,384144.6667,664782.1855,1151769,205,1152434,384144.6667,664782.1855,1151769,205,0,0.0,0.0,0,0,0,0,0,0,80,0,3.470914603,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
6389,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
80,62088,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,187266.4605,112.7432032,10348.0,23457.88817,58151,33,3659,1829.5,2409.112804,3533,126,62055,20685.0,32494.42357,58151,188,0,0,0,0,72,92,48.31851566,64.42468754,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
443,2345770,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,5.1155910426,0.8525985071,2345770.0,0.0,2345770,2345770,2345770,2345770.0,0.0,2345770,2345770,0,0.0,0.0,0,0,0,0,0,0,40,0,0.8525985071,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,251,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
80,1620663,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,7177.926565,4.319219974,270110.5,661201.8303,1619783,5,799,399.5,497.0960672,751,48,1620550,540183.3333,934960.8139,1619783,5,0,0,0,0,72,92,1.851094274,2.468125699,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
53,54950,1,1,53,113,53,53,53.0,0.0,113,113,113.0,0.0,3020.9281164695,36.3967242948,54950.0,0.0,54950,54950,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18.1983621474,18.1983621474,53,113,73.0,34.6410161514,1200.0,0,0,0,0,0,0,0,0,1,109.5,53.0,113.0,32,0,0,0,0,0,0,1,53,1,113,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
80,793372,3,5,26,11601,20,0,8.666666667,10.26320288,8760,0,2320.2,3668.897,14655.16807,10.08354215,113338.8571,297028.8952,786922,74,5803,2901.5,3826.154793,5607,196,793278,198319.5,392410.2292,786922,189,0,0,0,0,72,112,3.781328305,6.302213842,0,8760,1291.888889,2866.607422,8217438.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
80,41178689,9,9,467,1975,431,0,51.8888888889,142.190404427,1963,0,219.4444444444,653.8384951789,59.3025193201,0.437119307,2422275.82352941,4340019.52691269,10001687,27,40121581,5015197.625,5348079.43375574,10024667,1825,41154376,5144297.0,5227382.18185098,10026202,660,0,0,0,0,204,252,0.2185596535,0.2185596535,0,1963,128.5263157895,454.9454629612,206975.374269006,0,0,0,1,0,0,0,0,1,135.6666666667,51.8888888889,219.4444444444,204,0,0,0,0,0,0,9,467,9,1975,8192,946,7,20,29783.0,13580.1701756642,50153,22917,10000612.25,922.0265270949,10001687,9999439,benign,benign,0
54328,34,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,235294.1176,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,29411.76471,29411.76471,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,67516263,25,32,2404,28221,373,0,96.16,151.381053416,4380,0,881.90625,1162.0593333188,453.5944176887,0.8442410386,1205647.55357143,3114472.00650056,10009472,1,63690021,2653750.875,4450205.38202886,10234429,60,67289915,2170642.41935484,4067538.48991247,10234882,1,0,0,0,0,512,724,0.3702811573,0.4739598813,0,4380,528.0172413793,949.2448058599,901065.701451906,0,0,0,1,0,0,0,0,1,537.2807017544,96.16,881.90625,512,0,0,0,0,0,0,25,2404,32,28221,8192,173,24,20,607480.833333333,935942.980660984,2517966,224900,10007522.6666667,3686.9797757334,10009472,10000110,benign,benign,0
443,90080508,3,3,18,0,6,6,6.0,0.0,0,0,0.0,0.0,0.1998212532,0.0666070844,18016101.6,24637882.9402052,45008708,23059,90057446,45028723.0,4304.8660838637,45031767,45025679,90057449,45028724.5,4625.1854557412,45031995,45025454,0,0,0,0,60,96,0.0333035422,0.0333035422,0,6,3.4285714286,3.2071349029,10.2857142857,0,0,0,0,1,0,0,0,1,4.0,6.0,0.0,60,0,0,0,0,0,0,3,18,3,0,252,1585,2,20,23173.0,161.2203461105,23287,23059,45005550.0,4466.0864299742,45008708,45002392,benign,benign,0
443,120730,13,11,1302,4137,675,0,100.1538461538,184.7565272432,1410,0,376.0909090909,546.7693214776,45050.9401143046,198.7906899694,5249.1304347826,8618.5663451557,22313,1,120730,10060.8333333333,10220.442419114,23404,4,84962,8496.2,13739.1445860197,37450,1,0,0,0,0,272,232,107.6782904001,91.1123995693,0,1410,217.56,403.2248214913,162590.256666667,0,0,0,1,0,0,0,0,0,226.625,100.1538461538,376.0909090909,272,0,0,0,0,0,0,13,1302,11,4137,8192,124,12,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
80,1023449,3,5,26,11601,20,0,8.666666667,10.26320288,8760,0,2320.2,3668.897,11360.60517,7.81670606,146207.0,384373.0808,1017872,38,5410,2705.0,3737.766445,5348,62,1023390,255847.5,508022.5341,1017872,48,0,0,0,0,72,112,2.931264772,4.885441287,0,8760,1291.888889,2866.607422,8217438.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
1034,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
53,66183,1,1,53,119,53,53,53.0,0.0,119,119,119.0,0.0,2598.8546907816,30.2192405905,66183.0,0.0,66183,66183,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15.1096202952,15.1096202952,53,119,75.0,38.1051177665,1452.0,0,0,0,0,0,0,0,0,1,112.5,53.0,119.0,20,0,0,0,0,0,0,1,53,1,119,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
62396,1,2,0,247,0,216,31,123.5,130.8147545195,0,0,0.0,0.0,247000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,31,216,154.3333333333,106.8097998001,11408.3333333333,0,1,0,0,1,0,0,0,0,231.5,123.5,0.0,40,0,0,0,0,0,0,2,247,0,0,237,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
5221,70,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,114285.7143,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,14285.71429,14285.71429,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,14727933,9,8,1043,7127,517,0,115.8888888889,193.4466621865,3304,0,890.875,1261.860014593,554.7282161047,1.1542692379,920495.8125,2674788.37409041,9999958,29,10128698,1266087.25,3529041.54904334,9999958,78,14697961,2099708.71428571,3886503.64329894,10030773,194,0,0,0,0,192,184,0.6110837142,0.5431855237,0,3304,453.8888888889,914.1783124359,835721.986928104,0,0,0,1,0,0,0,0,0,480.5882352941,115.8888888889,890.875,192,0,0,0,0,0,0,9,1043,8,7127,8192,114,8,20,128740.0,0.0,128740,128740,9999958.0,0.0,9999958,9999958,benign,benign,0
80,818966,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,36.63155735,6.105259559,204741.5,408155.9432,816975,4,818966,204741.5,408155.9432,816975,4,0,0.0,0.0,0,0,0,0,0,0,100,0,6.105259559,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
443,139189,5,5,785,528,497,0,157.0,211.9917451223,354,0,105.6,149.4366086339,9433.2167053431,71.8447578472,15465.4444444444,18191.1287933921,39249,4,105387,26346.75,17750.0299788479,39249,95,106704,26676.0,34282.5100209033,72458,4,0,0,0,0,112,108,35.9223789236,35.9223789236,0,497,119.3636363636,170.6940378146,29136.4545454545,0,0,0,1,0,0,0,0,1,131.3,157.0,105.6,112,0,0,0,0,0,0,5,785,5,528,8192,31088,4,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
53,103490743,2,2,106,358,59,47,53.0,8.4852813742,230,128,179.0,72.124891681,4.4834927893,0.0386507999,34496914.3333333,59643580.6387711,103367389,60780,103428169,103428169.0,0.0,103428169,103428169,103429963,103429963.0,0.0,103429963,103429963,0,0,0,0,40,52,0.0193254,0.0193254,47,230,102.2,78.9917717234,6239.7,0,0,0,0,0,0,0,0,1,127.75,53.0,179.0,40,0,0,0,0,0,0,2,106,2,358,-1,-1,1,20,60780.0,0.0,60780,60780,103367389.0,0.0,103367389,103367389,benign,benign,0
53,94737618,2,2,111,206,56,55,55.5,0.7071067812,112,94,103.0,12.7279220614,3.3460837067,0.0422218764,31579206.0,54611962.9444642,94639669,47827,94689791,94689791.0,0.0,94689791,94689791,94687496,94687496.0,0.0,94687496,94687496,0,0,0,0,40,52,0.0211109382,0.0211109382,55,112,74.6,26.6983145535,712.8,0,0,0,0,0,0,0,0,1,93.25,55.5,103.0,40,0,0,0,0,0,0,2,111,2,206,-1,-1,1,20,50122.0,0.0,50122,50122,94639669.0,0.0,94639669,94639669,benign,benign,0
123,67112093,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8608852953,0.059601777,22370697.6666667,38553533.8854254,66888484,111606,67000090,67000090.0,0.0,67000090,67000090,67000487,67000487.0,0.0,67000487,67000487,0,0,0,0,40,40,0.0298008885,0.0298008885,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,111606.0,0.0,111606,111606,66888484.0,0.0,66888484,66888484,benign,benign,0
49794,311,3,0,43,0,31,6,14.3333333333,14.4337567297,0,0,0.0,0.0,138263.665594855,9646.3022508039,155.5,215.6675682619,308,3,311,155.5,215.6675682619,308,3,0,0.0,0.0,0,0,0,0,0,0,60,0,9646.3022508039,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.3333333333,14.3333333333,0.0,60,0,0,0,0,0,0,3,43,0,0,110,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
51659,647811,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,18.5239213289,3.0873202215,647811.0,0.0,647811,647811,647811,647811.0,0.0,647811,647811,0,0.0,0.0,0,0,0,0,0,0,40,0,3.0873202215,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,11256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
2811,50,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,160000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20000.0,20000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
8042,76,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,105263.1579,26315.78947,76.0,0.0,76,76,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13157.89474,13157.89474,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
777,58,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,137931.0345,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,17241.37931,17241.37931,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,63680244,14,11,2504,7695,730,0,178.8571428571,288.9465899922,1559,0,699.5454545455,770.8568432123,160.1595622027,0.3925864354,2653343.5,9585538.0735864,45001234,48,63680244,4898480.30769231,12820538.5128643,45001234,157,62106665,6210666.5,14523287.9786909,45045615,224,0,0,0,0,292,244,0.2198484038,0.1727380316,0,1559,392.2692307692,595.2371330952,354307.244615385,0,0,0,1,0,0,0,0,0,407.96,178.8571428571,699.5454545455,292,0,0,0,0,0,0,14,2504,11,7695,8192,126,13,20,601874.5,788482.750885839,1159416,44333,30472849.0,20546239.1063778,45001234,15944464,benign,benign,0
9011,23,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,347826.087,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,43478.26087,43478.26087,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
19780,22,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,363636.3636,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,45454.54545,45454.54545,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
80,813957,3,6,26,11601,20,0,8.666666667,10.26320288,7300,0,1933.5,2720.783986,14284.53837,11.05709515,101744.625,277299.5392,787686,58,25386,12693.0,17669.18425,25187,199,813899,162779.8,349503.0709,787686,191,0,0,0,0,72,132,3.685698385,7.371396769,0,7300,1162.7,2258.94725,5102842.678,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
443,60753574,14,14,1063,5304,688,0,75.9285714286,184.9301174813,1460,0,378.8571428571,587.6480968354,104.8004188198,0.4608782357,2250132.37037037,4126875.77064602,10000813,49,60753574,4673351.84615385,5144641.16759279,10225676,515,60527713,4655977.92307692,5165302.0044012,10225912,49,0,0,0,0,292,352,0.2304391179,0.2304391179,0,1460,219.5517241379,448.2572273505,200934.541871921,0,0,0,1,0,0,0,0,1,227.3928571429,75.9285714286,378.8571428571,292,0,0,0,0,0,0,14,1063,14,5304,8192,115,13,20,309782.166666667,207720.754552275,733790,224654,9815789.66666667,451652.755727524,10000813,8893858,benign,benign,0
